"","X","NETWORK","PI","YEAR_MONTH_DAY_TRANSECT","YEAR","MONTH","DAY","SITE","TRANSECT","SP_CODE","QUAD","SIDE","FISH.SIZE","COUNT","AREA","GROUP","DIVISION.FAMILY","COMMON.DIVISION.NAME","SIZE","COMMON.NAME","KINGDOM","PHYLUM","CLASS","ORDER","FAMILY","GENUS","SPECIES","SAMPLING_METHOD","NOTES"
"22",32,"KEEN ONE","Byrnes","2016_8_9_Broadway and 42nd",2016,8,9,"NE Appledore","Broadway and 42nd","TAAD",NA,NA,"0-10",31,80,"Fish","Chordates","Fish",NA,"Cunner","Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Tautogolabrus","Tautogolabrus adspersus","keen_fish",NA
"23",33,"KEEN ONE","Byrnes","2016_8_9_Devil's Dance Floor",2016,8,9,"NE Appledore","Devil's Dance Floor","TAAD",NA,NA,"0-10",40,80,"Fish","Chordates","Fish",NA,"Cunner","Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Tautogolabrus","Tautogolabrus adspersus","keen_fish",NA
"24",34,"KEEN ONE","Byrnes","2016_8_9_Broadway and 42nd",2016,8,9,"NE Appledore","Broadway and 42nd","TAAD",NA,NA,"10-50",2,80,"Fish","Chordates","Fish",NA,"Cunner","Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Tautogolabrus","Tautogolabrus adspersus","keen_fish",NA
"25",35,"KEEN ONE","Byrnes","2016_8_9_Devil's Dance Floor",2016,8,9,"NE Appledore","Devil's Dance Floor","TAAD",NA,NA,"10-50",6,80,"Fish","Chordates","Fish",NA,"Cunner","Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Tautogolabrus","Tautogolabrus adspersus","keen_fish",NA
"26",37,"KEEN ONE","Byrnes","2016_8_9_Magic 8 Ball",2016,8,9,"NW Appledore","Magic 8 Ball","TAAD",NA,NA,"YOY",3,80,"Fish","Chordates","Fish",NA,"Cunner","Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Tautogolabrus","Tautogolabrus adspersus","keen_fish",NA
"27",39,"KEEN ONE","Byrnes","2016_8_9_Magic 8 Ball",2016,8,9,"NW Appledore","Magic 8 Ball","TAAD",NA,NA,"0-10",3,80,"Fish","Chordates","Fish",NA,"Cunner","Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Tautogolabrus","Tautogolabrus adspersus","keen_fish",NA
"28",43,"KEEN ONE","Byrnes","2015_8_10_North Head",2015,8,10,"NW Appledore","North Head","TAAD",NA,NA,"0-10",5,80,"Fish","Chordates","Fish",NA,"Cunner","Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Tautogolabrus","Tautogolabrus adspersus","keen_fish",NA
"29",44,"KEEN ONE","Byrnes","2015_8_10_North Head",2015,8,10,"NW Appledore","North Head","POVI",NA,NA,"0-10",2,80,"Fish","Chordates","Fish",NA,"Pollock","Animalia","Chordata","Actinopterygii","Gadiformes","Gadidae","Pollachius","Pollachius virens","keen_fish",NA
"30",45,"KEEN ONE","Byrnes","2015_8_10_Magic 8 Ball",2015,8,10,"NW Appledore","Magic 8 Ball","TAAD",NA,NA,"0-10",7,80,"Fish","Chordates","Fish",NA,"Cunner","Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Tautogolabrus","Tautogolabrus adspersus","keen_fish",NA
"31",46,"KEEN ONE","Byrnes","2015_8_10_Larus Ledge",2015,8,10,"NW Appledore","Larus Ledge","TAAD",NA,NA,"0-10",11,80,"Fish","Chordates","Fish",NA,"Cunner","Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Tautogolabrus","Tautogolabrus adspersus","keen_fish",NA
"32",47,"KEEN ONE","Byrnes","2015_8_10_North Head",2015,8,10,"NW Appledore","North Head","POVI",NA,NA,"10-50",12,80,"Fish","Chordates","Fish",NA,"Pollock","Animalia","Chordata","Actinopterygii","Gadiformes","Gadidae","Pollachius","Pollachius virens","keen_fish",NA
"33",48,"KEEN ONE","Byrnes","2015_8_10_Magic 8 Ball",2015,8,10,"NW Appledore","Magic 8 Ball","POVI",NA,NA,"10-50",1,80,"Fish","Chordates","Fish",NA,"Pollock","Animalia","Chordata","Actinopterygii","Gadiformes","Gadidae","Pollachius","Pollachius virens","keen_fish",NA
"34",49,"KEEN ONE","Byrnes","2015_8_10_Larus Ledge",2015,8,10,"NW Appledore","Larus Ledge","POVI",NA,NA,"10-50",1,80,"Fish","Chordates","Fish",NA,"Pollock","Animalia","Chordata","Actinopterygii","Gadiformes","Gadidae","Pollachius","Pollachius virens","keen_fish",NA
"35",50,"KEEN ONE","Byrnes","2016_8_10_South Pepperrell",2016,8,10,"SW Appledore","South Pepperrell","TAAD",NA,NA,"YOY",17,80,"Fish","Chordates","Fish",NA,"Cunner","Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Tautogolabrus","Tautogolabrus adspersus","keen_fish",NA
"36",51,"KEEN ONE","Byrnes","2016_8_10_South Pepperrell",2016,8,10,"SW Appledore","South Pepperrell","TAON",NA,NA,"YOY",17,80,"Fish","Chordates","Fish",NA,"Tautog or Blackfish","Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Tautoga","Tautoga onitis","keen_fish",NA
"37",52,"KEEN ONE","Byrnes","2016_8_10_North Smith's Cove",2016,8,10,"SW Appledore","North Smith's Cove","TAAD",NA,NA,"YOY",52,80,"Fish","Chordates","Fish",NA,"Cunner","Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Tautogolabrus","Tautogolabrus adspersus","keen_fish",NA
"38",53,"KEEN ONE","Byrnes","2016_8_10_South Smith's Cove",2016,8,10,"SW Appledore","South Smith's Cove","TAAD",NA,NA,"YOY",9,80,"Fish","Chordates","Fish",NA,"Cunner","Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Tautogolabrus","Tautogolabrus adspersus","keen_fish",NA
"39",54,"KEEN ONE","Byrnes","2016_8_10_North Pepperrell",2016,8,10,"SW Appledore","North Pepperrell","TAAD",NA,NA,"0-10",3,80,"Fish","Chordates","Fish",NA,"Cunner","Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Tautogolabrus","Tautogolabrus adspersus","keen_fish",NA
"40",55,"KEEN ONE","Byrnes","2016_8_10_South Pepperrell",2016,8,10,"SW Appledore","South Pepperrell","TAAD",NA,NA,"0-10",61,80,"Fish","Chordates","Fish",NA,"Cunner","Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Tautogolabrus","Tautogolabrus adspersus","keen_fish",NA
"41",56,"KEEN ONE","Byrnes","2016_8_10_North Smith's Cove",2016,8,10,"SW Appledore","North Smith's Cove","TAAD",NA,NA,"0-10",12,80,"Fish","Chordates","Fish",NA,"Cunner","Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Tautogolabrus","Tautogolabrus adspersus","keen_fish",NA
"42",57,"KEEN ONE","Byrnes","2016_8_10_South Smith's Cove",2016,8,10,"SW Appledore","South Smith's Cove","TAAD",NA,NA,"0-10",79,80,"Fish","Chordates","Fish",NA,"Cunner","Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Tautogolabrus","Tautogolabrus adspersus","keen_fish",NA
"43",58,"KEEN ONE","Byrnes","2016_8_10_South Smith's Cove",2016,8,10,"SW Appledore","South Smith's Cove","TAAD",NA,NA,"10-50",3,80,"Fish","Chordates","Fish",NA,"Cunner","Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Tautogolabrus","Tautogolabrus adspersus","keen_fish",NA
"44",59,"KEEN ONE","Byrnes","2015_8_11_North Pepperrell",2015,8,11,"SW Appledore","North Pepperrell","TAAD",NA,NA,"0-10",3,80,"Fish","Chordates","Fish",NA,"Cunner","Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Tautogolabrus","Tautogolabrus adspersus","keen_fish",NA
"45",60,"KEEN ONE","Byrnes","2016_8_11_Larus Ledge",2016,8,11,"NW Appledore","Larus Ledge","TAAD",NA,NA,"0-10",13,80,"Fish","Chordates","Fish",NA,"Cunner","Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Tautogolabrus","Tautogolabrus adspersus","keen_fish",NA
"46",61,"KEEN ONE","Byrnes","2016_8_11_North Head",2016,8,11,"NW Appledore","North Head","TAAD",NA,NA,"0-10",4,80,"Fish","Chordates","Fish",NA,"Cunner","Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Tautogolabrus","Tautogolabrus adspersus","keen_fish",NA
"47",62,"KEEN ONE","Byrnes","2016_8_11_North Head",2016,8,11,"NW Appledore","North Head","TAAD",NA,NA,"10-50",2,80,"Fish","Chordates","Fish",NA,"Cunner","Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Tautogolabrus","Tautogolabrus adspersus","keen_fish",NA
"48",63,"KEEN ONE","Byrnes","2015_8_12_Broadway and 42nd",2015,8,12,"NE Appledore","Broadway and 42nd","TAAD",NA,NA,"0-10",16,80,"Fish","Chordates","Fish",NA,"Cunner","Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Tautogolabrus","Tautogolabrus adspersus","keen_fish",NA
"49",64,"KEEN ONE","Byrnes","2015_8_12_Norwegian Cove",2015,8,12,"NE Appledore","Norwegian Cove","TAAD",NA,NA,"0-10",21,80,"Fish","Chordates","Fish",NA,"Cunner","Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Tautogolabrus","Tautogolabrus adspersus","keen_fish",NA
"50",65,"KEEN ONE","Byrnes","2015_8_12_Norwegian Cove",2015,8,12,"NE Appledore","Norwegian Cove","POVI",NA,NA,"0-10",9,80,"Fish","Chordates","Fish",NA,"Pollock","Animalia","Chordata","Actinopterygii","Gadiformes","Gadidae","Pollachius","Pollachius virens","keen_fish",NA
"51",66,"KEEN ONE","Byrnes","2015_8_12_Norwegian Cove",2015,8,12,"NE Appledore","Norwegian Cove","PSAM",NA,NA,"0-10",1,80,"Fish","Chordates","Fish",NA,"Winter flounder","Animalia","Chordata","Actinopterygii","Pleuronectiformes","Pleuronectidae","Pseudopleuronectes","Pseudopleuronectes americanus","keen_fish",NA
"52",67,"KEEN ONE","Byrnes","2015_8_12_Broadway and 42nd",2015,8,12,"NE Appledore","Broadway and 42nd","URRE",NA,NA,"10-50",60,80,"Fish","Chordates","Fish",NA,"Spotted Hake","Animalia","Chordata","Actinopterygii","Gadiformes","Phycidae","Urophycis","Urophycis regia","keen_fish",NA
"53",68,"KEEN ONE","Byrnes","2015_8_12_Sandpiper Beach",2015,8,12,"NW Appledore","Sandpiper Beach","TAAD",NA,NA,"YOY",1,80,"Fish","Chordates","Fish",NA,"Cunner","Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Tautogolabrus","Tautogolabrus adspersus","keen_fish",NA
"54",69,"KEEN ONE","Byrnes","2015_8_12_Sandpiper Beach",2015,8,12,"NW Appledore","Sandpiper Beach","POVI",NA,NA,"10-50",12,80,"Fish","Chordates","Fish",NA,"Pollock","Animalia","Chordata","Actinopterygii","Gadiformes","Gadidae","Pollachius","Pollachius virens","keen_fish",NA
"55",70,"KEEN ONE","Byrnes","2015_8_12_South Pepperrell",2015,8,12,"SW Appledore","South Pepperrell","TAON",NA,NA,"0-10",41,80,"Fish","Chordates","Fish",NA,"Tautog or Blackfish","Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Tautoga","Tautoga onitis","keen_fish",NA
"56",71,"KEEN ONE","Byrnes","2015_8_13_Devil's Dance Floor",2015,8,13,"NE Appledore","Devil's Dance Floor","TAAD",NA,NA,"0-10",59,80,"Fish","Chordates","Fish",NA,"Cunner","Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Tautogolabrus","Tautogolabrus adspersus","keen_fish",NA
"57",72,"KEEN ONE","Byrnes","2015_8_13_Broad Cove",2015,8,13,"NE Appledore","Broad Cove","TAAD",NA,NA,"0-10",1,80,"Fish","Chordates","Fish",NA,"Cunner","Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Tautogolabrus","Tautogolabrus adspersus","keen_fish",NA
"58",73,"KEEN ONE","Byrnes","2015_8_13_Broad Cove",2015,8,13,"NE Appledore","Broad Cove","POVI",NA,NA,"0-10",17,80,"Fish","Chordates","Fish",NA,"Pollock","Animalia","Chordata","Actinopterygii","Gadiformes","Gadidae","Pollachius","Pollachius virens","keen_fish",NA
"59",74,"KEEN ONE","Byrnes","2015_8_13_Devil's Dance Floor",2015,8,13,"NE Appledore","Devil's Dance Floor","TAAD",NA,NA,"10-50",18,80,"Fish","Chordates","Fish",NA,"Cunner","Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Tautogolabrus","Tautogolabrus adspersus","keen_fish",NA
"60",75,"KEEN ONE","Byrnes","2015_8_13_Devil's Dance Floor",2015,8,13,"NE Appledore","Devil's Dance Floor","POVI",NA,NA,"10-50",24,80,"Fish","Chordates","Fish",NA,"Pollock","Animalia","Chordata","Actinopterygii","Gadiformes","Gadidae","Pollachius","Pollachius virens","keen_fish",NA
"61",77,"KEEN ONE","Byrnes","2015_8_13_North Smith's Cove",2015,8,13,"SW Appledore","North Smith's Cove","TAAD",NA,NA,"0-10",1,80,"Fish","Chordates","Fish",NA,"Cunner","Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Tautogolabrus","Tautogolabrus adspersus","keen_fish",NA
"62",82,"KEEN ONE","Byrnes","2017_8_15_Broad Cove",2017,8,15,"NE Appledore","Broad Cove","POVI",NA,NA,"YOY",3,80,"Fish","Chordates","Fish",NA,"Pollock","Animalia","Chordata","Actinopterygii","Gadiformes","Gadidae","Pollachius","Pollachius virens","keen_fish",NA
"63",83,"KEEN ONE","Byrnes","2017_8_15_Norwegian Cove",2017,8,15,"NE Appledore","Norwegian Cove","POVI",NA,NA,"50-100",49,80,"Fish","Chordates","Fish",NA,"Pollock","Animalia","Chordata","Actinopterygii","Gadiformes","Gadidae","Pollachius","Pollachius virens","keen_fish",NA
"64",84,"KEEN ONE","Byrnes","2017_8_15_8 Ball",2017,8,15,"NW Appledore","8 Ball","POVI",NA,NA,"YOY",3,80,"Fish","Chordates","Fish",NA,"Pollock","Animalia","Chordata","Actinopterygii","Gadiformes","Gadidae","Pollachius","Pollachius virens","keen_fish",NA
"65",91,"KEEN ONE","Byrnes","2017_8_16_Devil's Dance Floor",2017,8,16,"NE Appledore","Devil's Dance Floor","TAAD",NA,NA,"YOY",1,80,"Fish","Chordates","Fish",NA,"Cunner","Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Tautogolabrus","Tautogolabrus adspersus","keen_fish",NA
"66",101,"KEEN ONE","Byrnes","2017_8_16_South Smith's Cove",2017,8,16,"SW Appledore","South Smith's Cove","TAAD",NA,NA,"0-10",1,80,"Fish","Chordates","Fish",NA,"Cunner","Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Tautogolabrus","Tautogolabrus adspersus","keen_fish",NA
"67",102,"KEEN ONE","Byrnes","2017_8_16_South Smith's Cove",2017,8,16,"SW Appledore","South Smith's Cove","POVI",NA,NA,"10-50",2,80,"Fish","Chordates","Fish",NA,"Pollock","Animalia","Chordata","Actinopterygii","Gadiformes","Gadidae","Pollachius","Pollachius virens","keen_fish",NA
"68",103,"KEEN ONE","Byrnes","2017_8_16_South Smith's Cove",2017,8,16,"SW Appledore","South Smith's Cove","POVI",NA,NA,"50-100",4,80,"Fish","Chordates","Fish",NA,"Pollock","Animalia","Chordata","Actinopterygii","Gadiformes","Gadidae","Pollachius","Pollachius virens","keen_fish",NA
"69",104,"KEEN ONE","Byrnes","2017_8_16_South Smith's Cove",2017,8,16,"SW Appledore","South Smith's Cove","POVI",NA,NA,">100",1,80,"Fish","Chordates","Fish",NA,"Pollock","Animalia","Chordata","Actinopterygii","Gadiformes","Gadidae","Pollachius","Pollachius virens","keen_fish",NA
"70",105,"KEEN ONE","Byrnes","2017_8_17_Larus Ledge",2017,8,17,"NW Appledore","Larus Ledge","POVI",NA,NA,"0-10",4,80,"Fish","Chordates","Fish",NA,"Pollock","Animalia","Chordata","Actinopterygii","Gadiformes","Gadidae","Pollachius","Pollachius virens","keen_fish",NA
"71",106,"KEEN ONE","Byrnes","2017_8_17_Larus Ledge",2017,8,17,"NW Appledore","Larus Ledge","POVI",NA,NA,"10-50",3,80,"Fish","Chordates","Fish",NA,"Pollock","Animalia","Chordata","Actinopterygii","Gadiformes","Gadidae","Pollachius","Pollachius virens","keen_fish",NA
"72",109,"KEEN ONE","Byrnes","2017_8_17_North Pepperrell",2017,8,17,"SW Appledore","North Pepperrell","TAAD",NA,NA,"0-10",2,80,"Fish","Chordates","Fish",NA,"Cunner","Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Tautogolabrus","Tautogolabrus adspersus","keen_fish",NA
"73",112,"KEEN ONE","Byrnes","2017_8_17_North Pepperrell",2017,8,17,"SW Appledore","North Pepperrell","TAAD",NA,NA,"10-50",1,80,"Fish","Chordates","Fish",NA,"Cunner","Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Tautogolabrus","Tautogolabrus adspersus","keen_fish",NA
"74",119,"KEEN ONE","Byrnes","2018_8_28_Broad Cove",2018,8,28,"NE Appledore","Broad Cove","TAAD",NA,NA,"YOY",3,80,"Fish","Chordates","Fish",NA,"Cunner","Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Tautogolabrus","Tautogolabrus adspersus","keen_fish",NA
"75",120,"KEEN ONE","Byrnes","2018_8_28_Norwegian Cove",2018,8,28,"NE Appledore","Norwegian Cove","TAAD",NA,NA,"YOY",12,80,"Fish","Chordates","Fish",NA,"Cunner","Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Tautogolabrus","Tautogolabrus adspersus","keen_fish",NA
"76",121,"KEEN ONE","Byrnes","2018_8_28_Broadway and 42nd",2018,8,28,"NE Appledore","Broadway and 42nd","TAAD",NA,NA,"YOY",1,80,"Fish","Chordates","Fish",NA,"Cunner","Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Tautogolabrus","Tautogolabrus adspersus","keen_fish",NA
"77",122,"KEEN ONE","Byrnes","2018_8_28_Devil's Dance Floor",2018,8,28,"NE Appledore","Devil's Dance Floor","TAAD",NA,NA,"YOY",9,80,"Fish","Chordates","Fish",NA,"Cunner","Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Tautogolabrus","Tautogolabrus adspersus","keen_fish",NA
"78",123,"KEEN ONE","Byrnes","2018_8_28_Broad Cove",2018,8,28,"NE Appledore","Broad Cove","TAAD",NA,NA,"0-10",16,80,"Fish","Chordates","Fish",NA,"Cunner","Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Tautogolabrus","Tautogolabrus adspersus","keen_fish",NA
"79",124,"KEEN ONE","Byrnes","2018_8_28_Norwegian Cove",2018,8,28,"NE Appledore","Norwegian Cove","TAAD",NA,NA,"0-10",78,80,"Fish","Chordates","Fish",NA,"Cunner","Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Tautogolabrus","Tautogolabrus adspersus","keen_fish",NA
"80",125,"KEEN ONE","Byrnes","2018_8_28_Broadway and 42nd",2018,8,28,"NE Appledore","Broadway and 42nd","TAAD",NA,NA,"0-10",158,80,"Fish","Chordates","Fish",NA,"Cunner","Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Tautogolabrus","Tautogolabrus adspersus","keen_fish",NA
"81",127,"KEEN ONE","Byrnes","2018_8_28_Broadway and 42nd",2018,8,28,"NE Appledore","Broadway and 42nd","POVI",NA,NA,"0-10",3,80,"Fish","Chordates","Fish",NA,"Pollock","Animalia","Chordata","Actinopterygii","Gadiformes","Gadidae","Pollachius","Pollachius virens","keen_fish",NA
"82",128,"KEEN ONE","Byrnes","2018_8_28_Devil's Dance Floor",2018,8,28,"NE Appledore","Devil's Dance Floor","TAAD",NA,NA,"0-10",26,80,"Fish","Chordates","Fish",NA,"Cunner","Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Tautogolabrus","Tautogolabrus adspersus","keen_fish",NA
"83",129,"KEEN ONE","Byrnes","2018_8_28_Norwegian Cove",2018,8,28,"NE Appledore","Norwegian Cove","TAAD",NA,NA,"10-50",5,80,"Fish","Chordates","Fish",NA,"Cunner","Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Tautogolabrus","Tautogolabrus adspersus","keen_fish",NA
"84",130,"KEEN ONE","Byrnes","2018_8_28_Broadway and 42nd",2018,8,28,"NE Appledore","Broadway and 42nd","TAAD",NA,NA,"10-50",18,80,"Fish","Chordates","Fish",NA,"Cunner","Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Tautogolabrus","Tautogolabrus adspersus","keen_fish",NA
